               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,             0.03538,            0.043523,            0.010811,             0.29234,             0.19628,             0.14852,            0.069181,            0.068535,            0.071808,            0.044434,           0.0054955,           0.0054955,           0.0054955
                  93,            0.037516,            0.039867,            0.010551,             0.29303,             0.18719,             0.13446,            0.065275,            0.071005,            0.076462,            0.044397,            0.005446,            0.005446,            0.005446
                  94,            0.036927,            0.041846,            0.011515,             0.31151,             0.19017,             0.17794,            0.082221,             0.06705,             0.07547,            0.045105,           0.0053965,           0.0053965,           0.0053965
                  95,            0.034987,            0.041286,            0.010027,             0.24451,             0.16243,             0.12224,             0.05309,            0.065829,            0.079391,            0.047876,            0.005347,            0.005347,            0.005347
                  96,            0.035461,            0.039516,            0.009979,             0.37642,             0.15043,             0.17199,            0.073164,             0.06222,            0.073593,            0.046753,           0.0052975,           0.0052975,           0.0052975
                  97,            0.035451,            0.038944,           0.0095278,             0.27867,             0.23034,             0.17818,            0.078049,            0.061953,            0.073914,            0.045752,            0.005248,            0.005248,            0.005248
                  98,             0.03599,            0.042174,           0.0099284,             0.23318,             0.27675,             0.14502,            0.073405,            0.063257,            0.075363,            0.044983,           0.0051985,           0.0051985,           0.0051985
                  99,            0.035315,            0.039376,            0.010182,             0.29549,             0.24773,             0.17093,            0.084862,            0.061956,            0.074768,            0.043335,            0.005149,            0.005149,            0.005149
                 100,            0.034762,            0.040295,           0.0096012,             0.28715,             0.24709,             0.20488,             0.10592,            0.062506,            0.075821,            0.042151,           0.0050995,           0.0050995,           0.0050995
                 101,            0.035602,            0.039432,           0.0097521,             0.25662,             0.24209,             0.19195,            0.078647,            0.061168,            0.074432,             0.04259,             0.00505,             0.00505,             0.00505
                 102,            0.034238,            0.038994,             0.01091,             0.32448,             0.20656,             0.19393,             0.10558,            0.063915,            0.075974,            0.044275,           0.0050005,           0.0050005,           0.0050005
                 103,            0.035563,            0.043823,             0.01076,             0.22802,             0.24914,             0.19495,            0.074856,            0.063436,            0.079422,            0.043384,            0.004951,            0.004951,            0.004951
                 104,            0.034879,            0.040016,           0.0092884,             0.34774,             0.24597,              0.2157,            0.092017,            0.067021,            0.078232,            0.045117,           0.0049015,           0.0049015,           0.0049015
                 105,            0.034064,            0.041231,            0.010352,             0.26934,              0.2649,             0.21045,            0.095933,            0.061621,            0.072388,            0.045581,            0.004852,            0.004852,            0.004852
                 106,            0.035153,             0.03987,            0.009714,               0.268,             0.28416,             0.20091,            0.092974,            0.066427,            0.075516,            0.045203,           0.0048025,           0.0048025,           0.0048025
                 107,            0.033862,            0.039911,            0.010687,             0.40126,             0.20732,             0.19732,            0.090069,            0.066409,            0.075424,            0.047778,            0.004753,            0.004753,            0.004753
                 108,            0.036006,            0.041499,             0.01104,             0.37888,             0.22062,             0.21489,            0.090181,            0.069575,            0.081467,            0.049353,           0.0047035,           0.0047035,           0.0047035
                 109,            0.035475,              0.0379,           0.0095908,             0.34996,             0.23987,             0.21098,            0.097299,            0.068106,            0.075104,            0.047668,            0.004654,            0.004654,            0.004654
                 110,            0.033855,            0.039898,           0.0090955,             0.37686,             0.23272,             0.22714,             0.10055,            0.065743,            0.073578,            0.046094,           0.0046045,           0.0046045,           0.0046045
                 111,            0.034161,            0.041625,           0.0097552,             0.28526,             0.22385,             0.19283,            0.091344,            0.064254,            0.072937,            0.043384,            0.004555,            0.004555,            0.004555
                 112,            0.034871,            0.041286,            0.010167,             0.35284,             0.16392,             0.17097,            0.091874,            0.067484,            0.074402,            0.043347,           0.0045055,           0.0045055,           0.0045055
                 113,            0.033099,            0.037408,           0.0088893,             0.32268,             0.19035,             0.18878,             0.10273,            0.063982,            0.071274,            0.041882,            0.004456,            0.004456,            0.004456
                 114,            0.033126,            0.039127,           0.0094189,             0.36545,             0.18024,             0.18102,            0.094182,            0.066127,            0.074402,            0.042725,           0.0044065,           0.0044065,           0.0044065
                 115,             0.03479,            0.039453,           0.0091764,             0.27501,             0.19349,             0.17335,            0.092785,            0.068866,             0.07019,            0.043323,            0.004357,            0.004357,            0.004357
                 116,            0.036035,            0.042239,            0.010406,             0.30215,             0.18208,             0.15751,            0.074483,            0.066835,            0.075394,            0.042285,           0.0043075,           0.0043075,           0.0043075
                 117,            0.033827,            0.038858,            0.010566,              0.3336,             0.19308,             0.15257,            0.073999,            0.063062,            0.076187,            0.043298,            0.004258,            0.004258,            0.004258
                 118,            0.033527,            0.037058,           0.0098125,             0.32043,             0.19191,             0.14953,             0.07026,            0.064545,            0.077667,            0.043518,           0.0042085,           0.0042085,           0.0042085
                 119,            0.033312,            0.040301,           0.0091728,             0.32587,             0.18273,             0.16193,            0.081847,            0.064317,            0.078598,            0.042236,            0.004159,            0.004159,            0.004159
                 120,            0.033747,            0.038981,           0.0084739,             0.33965,              0.1733,             0.19067,             0.10592,            0.064353,            0.076462,             0.04209,           0.0041095,           0.0041095,           0.0041095
                 121,            0.033625,            0.039708,           0.0087421,              0.2443,             0.24445,             0.21605,             0.10151,            0.062865,            0.073486,            0.045996,             0.00406,             0.00406,             0.00406
                 122,            0.033659,            0.037461,            0.008575,             0.44206,             0.19349,               0.226,              0.1053,            0.062235,            0.073578,            0.046118,           0.0040105,           0.0040105,           0.0040105
                 123,            0.033373,            0.039267,           0.0098164,             0.26915,             0.22681,             0.19285,             0.09503,            0.062465,            0.075378,            0.045471,            0.003961,            0.003961,            0.003961
                 124,            0.033608,            0.037201,            0.010359,             0.29067,             0.26312,             0.21171,            0.097999,            0.062253,            0.077835,            0.049475,           0.0039115,           0.0039115,           0.0039115
                 125,            0.032902,            0.037733,           0.0095657,             0.34989,             0.24111,             0.21475,            0.090816,            0.064112,             0.07843,            0.049609,            0.003862,            0.003862,            0.003862
                 126,            0.032623,            0.040116,            0.010268,              0.3851,             0.19131,             0.22161,             0.10012,            0.063195,            0.078522,            0.049475,           0.0038125,           0.0038125,           0.0038125
                 127,            0.031661,            0.037506,           0.0086101,             0.32745,             0.23709,             0.19483,            0.093372,            0.062875,            0.075165,            0.046948,            0.003763,            0.003763,            0.003763
                 128,            0.033034,            0.037233,           0.0092588,              0.2832,             0.18325,             0.16696,            0.086943,            0.061756,            0.074188,            0.047559,           0.0037135,           0.0037135,           0.0037135
                 129,             0.03213,             0.03547,           0.0087951,             0.28434,             0.17982,             0.14002,            0.068008,            0.062523,            0.077591,            0.047937,            0.003664,            0.003664,            0.003664
                 130,            0.033014,             0.03999,           0.0088953,             0.28446,             0.18181,             0.13824,            0.065104,            0.063675,            0.075806,            0.050024,           0.0036145,           0.0036145,           0.0036145
                 131,            0.034182,            0.040958,           0.0096825,             0.29681,             0.21097,               0.165,            0.076835,            0.063828,            0.076782,            0.050073,            0.003565,            0.003565,            0.003565
                 132,             0.03159,             0.03662,           0.0079202,             0.27097,             0.21938,             0.18524,            0.087754,            0.065373,              0.0802,            0.051709,           0.0035155,           0.0035155,           0.0035155
                 133,            0.033169,            0.039459,           0.0097758,             0.27109,             0.23019,             0.19614,            0.080645,            0.065414,            0.080002,            0.050208,            0.003466,            0.003466,            0.003466
                 134,            0.032243,            0.034962,           0.0079756,             0.28018,             0.22049,             0.18077,            0.079854,            0.065696,            0.083084,            0.050183,           0.0034165,           0.0034165,           0.0034165
                 135,            0.032826,            0.039299,            0.010354,             0.36072,             0.17377,              0.1735,            0.074086,             0.06622,            0.080994,              0.0495,            0.003367,            0.003367,            0.003367
                 136,             0.03303,            0.038993,           0.0097467,             0.27695,             0.22016,             0.19961,            0.091549,            0.063956,            0.079269,             0.04613,           0.0033175,           0.0033175,           0.0033175
                 137,             0.03275,            0.039207,            0.010498,             0.28945,             0.21872,              0.1953,            0.086113,            0.064506,            0.079712,            0.046472,            0.003268,            0.003268,            0.003268
                 138,            0.031602,            0.037379,           0.0078375,             0.29637,             0.18364,             0.17358,             0.09361,            0.066296,            0.077698,            0.048083,           0.0032185,           0.0032185,           0.0032185
                 139,            0.031441,            0.037435,           0.0088763,             0.31061,             0.17214,             0.15083,             0.07105,            0.066568,            0.079056,            0.047437,            0.003169,            0.003169,            0.003169
                 140,            0.031179,            0.035923,           0.0084764,             0.35152,             0.16554,             0.14454,            0.064238,            0.066824,            0.084412,            0.045972,           0.0031195,           0.0031195,           0.0031195
